artist,song,genre,year,danceability,energy,duration_ms,explicit,,,,,,,,,
Las Ketchup,The Ketchup Song (Aserejé) - Spanglish Version,set(),2002,0.607,0.923,213973,FALSE,,,,,,,,,
Aaliyah,Rock The Boat,"hip hop, pop, R&B",2019,0.641,0.72,275026,FALSE,,,,,,,,,
Holly Valance,Kiss Kiss,"pop, Dance/Electronic",2002,0.705,0.717,204400,FALSE,,,,,,,,,
Sugababes,Round Round,"pop, R&B",2002,0.74,0.845,236426,FALSE,,,,,,,,,
Marilyn Manson,Tainted Love,"rock, metal",2003,0.622,0.876,200426,FALSE,,,,,,,,,
Brandy,What About Us?,"hip hop, pop, R&B",2002,0.686,0.698,253200,FALSE,,,,,,,,,
Chad Kroeger,Hero (feat. Josey Scott),metal,2003,0.427,0.843,200480,FALSE,,,,,,,,,
Britney Spears,Overprotected - Radio Edit,pop,2001,0.682,0.894,198600,FALSE,,,,,,,,,
Scooter,The Logical Song,"pop, Dance/Electronic",2013,0.527,0.933,234116,FALSE,,,,,,,,,
Missy Elliott,4 My People (feat. Eve),"hip hop, pop, R&B",2001,0.969,0.701,289373,TRUE,,,,,,,,,
Aaliyah,More Than A Woman,"hip hop, pop, R&B",2002,0.646,0.638,230346,FALSE,,,,,,,,,
Brandy,Full Moon,"hip hop, pop, R&B",2002,0.611,0.654,248933,FALSE,,,,,,,,,
Blue,One Love,pop,2002,0.683,0.722,207186,FALSE,,,,,,,,,
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,"hip hop, pop",2001,0.697,0.793,238600,TRUE,,,,,,,,,
Céline Dion,A New Day Has Come - Radio Remix,pop,2001,0.574,0.691,259773,FALSE,,,,,,,,,
Scooter,Nessaja,"pop, Dance/Electronic",2013,0.486,0.904,208449,FALSE,,,,,,,,,
Eve,Gangsta Lovin',"hip hop, pop, R&B",2002,0.723,0.84,239266,TRUE,,,,,,,,,
Disturbing Tha Peace,Move Bitch,"hip hop, pop",2002,0.777,0.751,272293,TRUE,,,,,,,,,
Khia,"My Neck, My Back (Lick It)","pop, R&B",2015,0.859,0.625,222560,TRUE,,,,,,,,,
Tweet,Oops (Oh My) [feat. Missy Elliott],"hip hop, pop, R&B",2002,0.66,0.536,237800,TRUE,,,,,,,,,
Kylie Minogue,Spinning Around,"pop, Dance/Electronic",2000,0.761,0.662,207866,FALSE,,,,,,,,,
Nelly,Hot In Herre,"hip hop, pop, R&B",2002,0.956,0.745,228240,TRUE,,,,,,,,,
Gareth Gates,Anyone of Us (Stupid Mistake),pop,2003,0.7,0.72,227866,FALSE,,,,,,,,,
Christina Aguilera,Dirrty (feat. Redman),pop,2002,0.64,0.889,298853,FALSE,,,,,,,,,
B2K,Uh Huh,"hip hop, pop, R&B",2002,0.855,0.681,223293,FALSE,,,,,,,,,
Sugababes,Freak Like Me,"pop, R&B",2002,0.517,0.919,195866,FALSE,,,,,,,,,
Dirty Vegas,Days Go By,Dance/Electronic,2002,0.786,0.853,432146,FALSE,,,,,,,,,
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),"hip hop, pop",2001,0.835,0.707,267093,TRUE,,,,,,,,,
Liberty X,Just A Little,pop,2019,0.786,0.614,237359,FALSE,,,,,,,,,
No Doubt,Hella Good,"rock, pop",2001,0.771,0.665,242586,FALSE,,,,,,,,,
LL Cool J,Luv U Better,"hip hop, pop, R&B",2002,0.668,0.806,287000,FALSE,,,,,,,,,
